name,created_at,updated_at,midpoint_fom_20220315,baseline_fom_20220315,skylab_uuid
1649317193_shape_20220407_07.09.42_5c6b,2022-04-07T07:42:12.362114,2022-05-25T19:42:27.188812,-8.850985153764915,-6.130197473585479,c186bae3-a619-47fa-8f36-09b87d0e78d5
1646090392_shape_20220228_22.53.20_5c6b,2022-02-28T23:22:19.129830,2022-05-25T19:42:32.521247,-27.964688986621532,-2.1985559676439386,c1c6dd9d-a96b-46a3-8778-ed387dc2f9a3
1650108261_shape_20220416_10.52.48_5c6b,2022-04-16T11:26:39.337320,2022-05-25T19:42:37.616443,-10.588566201300397,-9.471280503915654,c1e4c231-64e0-4ae4-b6ba-8a39c676c24c
1650131227_shape_20220416_17.16.51_5c6b,2022-04-16T17:49:27.577613,2022-05-25T19:42:43.097039,-13.489681187233183,-14.08419202037549,c206183e-38f5-48cb-bd08-2ff6c1f84c26
1650172770_shape_20220417_04.46.59_5c6b,2022-04-17T05:21:49.272874,2022-05-25T19:42:48.429952,-10.930550380378572,-11.774645054241955,c2290e95-eff8-4178-aee5-2b26e62afb9d
1651065844_shape_20220427_12.54.01_5c6b,2022-04-27T13:26:28.800684,2022-05-25T19:42:54.022654,-12.056974471488326,-10.188393236781705,c2cd9e0b-56c2-48f9-93e8-8a45dd26eeb1
1645824243_shape_20220225_20.57.07_5c6b,2022-02-25T21:26:29.263227,2022-05-25T19:42:59.364517,-27.799411533559987,-2.492820652559227,c36adadf-3055-430f-88a3-f3cae63d624c
1652065996_shape_20220509_02.39.50_5c6b,2022-05-09T03:16:04.609909,2022-05-25T19:43:04.701897,-9.252994456415545,-8.775233571361394,c3fc4a80-4dcc-4ca6-8465-dba54fb48cf4
1649429870_shape_20220408_14.26.58_5c6b,2022-04-08T15:00:16.151806,2022-05-25T19:43:10.738083,-11.853667894495889,-2.934706568993186,c44a3bfc-6eca-4c11-a5af-2cc7434547dc
1649913482_shape_20220414_04.45.09_5c6b,2022-04-14T05:20:19.069254,2022-05-25T19:43:16.174005,-10.7992010172019,-11.348522822501543,c4529d7e-edd5-42e4-bd9f-617f29de20d8
